fl_id,fl_created_ptj_id,fl_created_ministry_id,fl_issued_ptj_id,fl_issued_ministry_id,fl_created_date,fl_module,fl_latest_status,fl_latest_status_id,fl_total_amount,fl_total_trans,fl_financial_year
,983139,955032,983139,955032,2018-12-13T16:00:00.000Z,Contract Order,Pending Payment,41530,55015.64,1,2018
,996488,955038,996488,955038,2018-12-13T16:00:00.000Z,Contract Order,Pending Payment,41530,7221.38,1,2018
,1032052,955015,1032052,955015,2018-12-13T16:00:00.000Z,Contract Order,Pending Payment,41530,28843.2,4,2018
,996031,955030,996031,955030,2018-12-14T16:00:00.000Z,Contract Order,Closed,41535,129265.36,6,2018
,997322,955039,997322,955039,2018-12-15T16:00:00.000Z,Purchase Order,Pending Payment,41030,1400,1,2018
,982234,955020,982234,955020,2018-12-16T16:00:00.000Z,Contract Order,Cancelled by YEP,41910,19111.5,2,2018
,983017,955033,983017,955033,2018-12-16T16:00:00.000Z,Contract Order,Cancelled by YEP,41910,3549.6,1,2018
,992547,955021,992547,955021,2018-12-16T16:00:00.000Z,Contract Order,Cancelled by YEP,41910,339,1,2018
,1032326,955039,1032326,955039,2018-12-16T16:00:00.000Z,Contract Order,Cancelled by YEP,41910,1310,1,2018
,990671,955026,990671,955026,2018-12-16T16:00:00.000Z,Purchase Order,Cancelled by YEP,41410,7984,1,2018
,983139,955032,983139,955032,2018-12-12T16:00:00.000Z,Contract Order,Pending Payment,41530,55015.64,1,2018
,996488,955038,996488,955038,2018-12-12T16:00:00.000Z,Contract Order,Pending Payment,41530,7221.38,1,2018
,1032052,955015,1032052,955015,2018-12-12T16:00:00.000Z,Contract Order,Pending Payment,41530,28843.2,4,2018
,996031,955030,996031,955030,2018-12-13T16:00:00.000Z,Contract Order,Closed,41535,129265.36,6,2018
,997322,955039,997322,955039,2018-12-14T16:00:00.000Z,Purchase Order,Pending Payment,41030,1400,1,2018
,982234,955020,982234,955020,2018-12-15T16:00:00.000Z,Contract Order,Cancelled by YEP,41910,19111.5,2,2018
,983017,955033,983017,955033,2018-12-15T16:00:00.000Z,Contract Order,Cancelled by YEP,41910,3549.6,1,2018
,992547,955021,992547,955021,2018-12-15T16:00:00.000Z,Contract Order,Cancelled by YEP,41910,339,1,2018
,1032326,955039,1032326,955039,2018-12-15T16:00:00.000Z,Contract Order,Cancelled by YEP,41910,1310,1,2018
,990671,955026,990671,955026,2018-12-15T16:00:00.000Z,Purchase Order,Cancelled by YEP,41410,7984,1,2018
,983139,955032,983139,955032,2018-12-12T16:00:00.000Z,Contract Order,Pending Payment,41530,55015.64,1,2018
,996488,955038,996488,955038,2018-12-12T16:00:00.000Z,Contract Order,Pending Payment,41530,7221.38,1,2018
,1032052,955015,1032052,955015,2018-12-12T16:00:00.000Z,Contract Order,Pending Payment,41530,28843.2,4,2018
,996031,955030,996031,955030,2018-12-13T16:00:00.000Z,Contract Order,Closed,41535,129265.36,6,2018
,997322,955039,997322,955039,2018-12-14T16:00:00.000Z,Purchase Order,Pending Payment,41030,1400,1,2018
,982234,955020,982234,955020,2018-12-15T16:00:00.000Z,Contract Order,Cancelled by YEP,41910,19111.5,2,2018
,983017,955033,983017,955033,2018-12-15T16:00:00.000Z,Contract Order,Cancelled by YEP,41910,3549.6,1,2018
,992547,955021,992547,955021,2018-12-15T16:00:00.000Z,Contract Order,Cancelled by YEP,41910,339,1,2018
,1032326,955039,1032326,955039,2018-12-15T16:00:00.000Z,Contract Order,Cancelled by YEP,41910,1310,1,2018
,990671,955026,990671,955026,2018-12-15T16:00:00.000Z,Purchase Order,Cancelled by YEP,41410,7984,1,2018
,983139,955032,983139,955032,2018-12-11T16:00:00.000Z,Contract Order,Pending Payment,41530,55015.64,1,2018
,996488,955038,996488,955038,2018-12-11T16:00:00.000Z,Contract Order,Pending Payment,41530,7221.38,1,2018
,1032052,955015,1032052,955015,2018-12-11T16:00:00.000Z,Contract Order,Pending Payment,41530,28843.2,4,2018
,996031,955030,996031,955030,2018-12-12T16:00:00.000Z,Contract Order,Closed,41535,129265.36,6,2018
,997322,955039,997322,955039,2018-12-13T16:00:00.000Z,Purchase Order,Pending Payment,41030,1400,1,2018
,982234,955020,982234,955020,2018-12-14T16:00:00.000Z,Contract Order,Cancelled by YEP,41910,19111.5,2,2018
,983017,955033,983017,955033,2018-12-14T16:00:00.000Z,Contract Order,Cancelled by YEP,41910,3549.6,1,2018
,992547,955021,992547,955021,2018-12-14T16:00:00.000Z,Contract Order,Cancelled by YEP,41910,339,1,2018
,1032326,955039,1032326,955039,2018-12-14T16:00:00.000Z,Contract Order,Cancelled by YEP,41910,1310,1,2018
,990671,955026,990671,955026,2018-12-14T16:00:00.000Z,Purchase Order,Cancelled by YEP,41410,7984,1,2018
